토픽 A,토픽 B,JSD,유사도(1-JSD),해석
T1 직무 스트레스와 소진,T5 개인적 자기 돌봄,0.1916,0.8084,유사
T1 직무 스트레스와 소진,T3 수퍼비전과 사례 자문,0.2117,0.7883,유사
T4 동료 지지 네트워크,T5 개인적 자기 돌봄,0.219,0.781,유사
T1 직무 스트레스와 소진,T7 의미 재구성과 성장,0.2645,0.7355,유사
T5 개인적 자기 돌봄,T7 의미 재구성과 성장,0.2645,0.7355,유사
T1 직무 스트레스와 소진,T4 동료 지지 네트워크,0.2646,0.7354,유사
T3 수퍼비전과 사례 자문,T5 개인적 자기 돌봄,0.2734,0.7266,유사
T2 법적·제도적 취약성,T5 개인적 자기 돌봄,0.3053,0.6947,보통
T1 직무 스트레스와 소진,T2 법적·제도적 취약성,0.3053,0.6947,보통
T3 수퍼비전과 사례 자문,T6 지역적 특수성과 인프라 한계,0.3059,0.6941,보통
T3 수퍼비전과 사례 자문,T7 의미 재구성과 성장,0.3094,0.6906,보통
T4 동료 지지 네트워크,T6 지역적 특수성과 인프라 한계,0.3108,0.6892,보통
T1 직무 스트레스와 소진,T6 지역적 특수성과 인프라 한계,0.3195,0.6805,보통
T5 개인적 자기 돌봄,T6 지역적 특수성과 인프라 한계,0.3195,0.6805,보통
T2 법적·제도적 취약성,T3 수퍼비전과 사례 자문,0.3208,0.6792,보통
T3 수퍼비전과 사례 자문,T4 동료 지지 네트워크,0.3222,0.6778,보통
T2 법적·제도적 취약성,T6 지역적 특수성과 인프라 한계,0.3352,0.6648,보통
T2 법적·제도적 취약성,T7 의미 재구성과 성장,0.3362,0.6638,보통
T2 법적·제도적 취약성,T4 동료 지지 네트워크,0.3458,0.6542,보통
T6 지역적 특수성과 인프라 한계,T7 의미 재구성과 성장,0.3512,0.6488,보통
T4 동료 지지 네트워크,T7 의미 재구성과 성장,0.3652,0.6348,보통
