순위,키워드,빈도(회),대응 범주
1,너무,5,-
2,해요,3,-
3,됩니다,3,-
4,자살위기,2,위협 인식
5,혼자,2,-
6,해야,2,-
7,스트레스가,2,-
8,비밀보장,2,위협 인식
9,의무신고,2,-
10,증거로,2,-
11,상황에서,2,-
12,역전이,2,자기보전 시도
13,관리를,2,-
14,집단수퍼비전이라도,2,-
15,받을,2,-
16,카카오톡,2,-
17,공감과,2,-
18,중요한,2,-
19,있었습니다,2,-
20,명상과,2,-
21,꾸준히,2,-
22,도움이,2,-
23,대구경북,2,지역적 특수성
24,이동피로가,2,-
25,심해요,2,-
26,지역,2,-
27,어려운,2,-
28,있어요,2,-
29,쌓이면서,2,-
30,가장,2,-
31,더욱,2,-
32,수퍼비전,2,관계적 지지 활용
33,있으면,2,-
34,소진,2,위협 인식
35,소진이,1,-
36,심해서,1,-
37,이상,1,-
38,역할갈등을,1,-
39,버티기가,1,-
40,힘들었어요,1,-
41,행정업무가,1,-
42,늘어나면서,1,-
43,감정노동도,1,-
44,극심해졌고,1,-
45,번아웃,1,-
46,직전이었습니다,1,-
47,학생을,1,-
48,위기개입,1,-
49,두려움이,1,-
50,엄청났어요,1,-
