토픽번호,토픽명,성격,순위,키워드,β 가중치
1,직무 스트레스와 소진,위협 요인,1,도움이,0.0825
1,직무 스트레스와 소진,위협 요인,2,중요한,0.0825
1,직무 스트레스와 소진,위협 요인,3,카카오톡,0.0825
1,직무 스트레스와 소진,위협 요인,4,소진,0.0825
1,직무 스트레스와 소진,위협 요인,5,공감과,0.0825
1,직무 스트레스와 소진,위협 요인,6,수퍼비전,0.0825
1,직무 스트레스와 소진,위협 요인,7,해요,0.0825
1,직무 스트레스와 소진,위협 요인,8,가장,0.0825
1,직무 스트레스와 소진,위협 요인,9,됩니다,0.0825
1,직무 스트레스와 소진,위협 요인,10,너무,0.0103
1,직무 스트레스와 소진,위협 요인,11,집단수퍼비전이라도,0.0103
1,직무 스트레스와 소진,위협 요인,12,비밀보장,0.0103
1,직무 스트레스와 소진,위협 요인,13,자살위기,0.0103
1,직무 스트레스와 소진,위협 요인,14,있어요,0.0103
1,직무 스트레스와 소진,위협 요인,15,증거로,0.0103
1,직무 스트레스와 소진,위협 요인,16,어려운,0.0103
1,직무 스트레스와 소진,위협 요인,17,받을,0.0103
1,직무 스트레스와 소진,위협 요인,18,상황에서,0.0103
1,직무 스트레스와 소진,위협 요인,19,꾸준히,0.0103
1,직무 스트레스와 소진,위협 요인,20,쌓이면서,0.0103
2,법적·제도적 취약성,위협 요인,1,상황에서,0.1667
2,법적·제도적 취약성,위협 요인,2,증거로,0.1667
2,법적·제도적 취약성,위협 요인,3,의무신고,0.1666
2,법적·제도적 취약성,위협 요인,4,비밀보장,0.1666
2,법적·제도적 취약성,위협 요인,5,받을,0.0111
2,법적·제도적 취약성,위협 요인,6,명상과,0.0111
2,법적·제도적 취약성,위협 요인,7,꾸준히,0.0111
2,법적·제도적 취약성,위협 요인,8,집단수퍼비전이라도,0.0111
2,법적·제도적 취약성,위협 요인,9,너무,0.0111
2,법적·제도적 취약성,위협 요인,10,가장,0.0111
2,법적·제도적 취약성,위협 요인,11,관리를,0.0111
2,법적·제도적 취약성,위협 요인,12,해요,0.0111
2,법적·제도적 취약성,위협 요인,13,어려운,0.0111
2,법적·제도적 취약성,위협 요인,14,자살위기,0.0111
2,법적·제도적 취약성,위협 요인,15,쌓이면서,0.0111
2,법적·제도적 취약성,위협 요인,16,도움이,0.0111
2,법적·제도적 취약성,위협 요인,17,있어요,0.0111
2,법적·제도적 취약성,위협 요인,18,중요한,0.0111
2,법적·제도적 취약성,위협 요인,19,더욱,0.0111
2,법적·제도적 취약성,위협 요인,20,됩니다,0.0111
3,수퍼비전과 사례 자문,보호 요인(전문적),1,스트레스가,0.1442
3,수퍼비전과 사례 자문,보호 요인(전문적),2,자살위기,0.1442
3,수퍼비전과 사례 자문,보호 요인(전문적),3,공감과,0.0769
